Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
brnn,0.8504685283,6.164337553,8.121885744,721,1,full_before_split,split_separate
brnn,0.8504517156,6.793088815,8.677897901,2619,1,full_before_split,split_separate
brnn,0.8504221022,6.5264549,8.600190298,1307,1,full_before_split,split_separate
brnn,0.8503907692,6.259601239,7.972136227,1087,1,full_before_split,split_separate
brnn,0.850374743,6.390197898,8.278521803,1285,1,full_before_split,split_separate
brnn,0.8503151941,6.27012052,8.163683055,3262,1,full_before_split,split_separate
brnn,0.8503034927,6.256899262,8.098272903,3455,1,full_before_split,split_separate
brnn,0.850300643,6.530218407,8.292829905,1323,1,full_before_split,split_separate
brnn,0.8502409119,6.381589204,8.265966341,2234,1,full_before_split,split_separate
brnn,0.8502160357,6.153525693,8.151672696,3338,1,full_before_split,split_separate
brnn,0.8502076954,6.356578557,8.133106939,1891,1,full_before_split,split_separate
brnn,0.8501865039,6.394482182,8.251745698,2723,1,full_before_split,split_separate
brnn,0.850183619,6.163265818,8.183899749,3529,1,full_before_split,split_separate
brnn,0.8501228476,6.408594048,8.136597553,1387,1,full_before_split,split_separate
brnn,0.8500599616,6.444717187,8.25894912,2617,1,full_before_split,split_separate
brnn,0.850053011,6.297502095,8.004548842,914,1,full_before_split,split_separate
brnn,0.8500278757,6.376166699,8.340942791,2761,1,full_before_split,split_separate
brnn,0.850012764,6.59239956,8.237317262,1313,1,full_before_split,split_separate
brnn,0.8499746709,5.988084373,8.059873682,407,1,full_before_split,split_separate
brnn,0.8499571813,6.472220699,8.173586935,1780,1,full_before_split,split_separate
brnn,0.8499375824,6.479589774,8.361185275,3036,1,full_before_split,split_separate
brnn,0.8499274261,6.217770557,8.21767046,3772,1,full_before_split,split_separate
brnn,0.8499270134,6.653904986,8.152808104,3303,1,full_before_split,split_separate
brnn,0.8499270074,6.26361908,7.991562425,3117,1,full_before_split,split_separate
brnn,0.8499194761,6.359973455,8.150869512,1934,1,full_before_split,split_separate
brnn,0.8499048989,6.6236288,8.131683928,2194,1,full_before_split,split_separate
brnn,0.8497765725,6.27654353,8.107212477,3093,1,full_before_split,split_separate
brnn,0.8497706915,6.557446596,8.518537427,2123,1,full_before_split,split_separate
brnn,0.8497673205,6.358458518,8.190705838,1965,1,full_before_split,split_separate
brnn,0.8497403504,6.21677179,7.951492413,1119,1,full_before_split,split_separate
brnn,0.8496800864,6.47360584,8.483120912,1379,1,full_before_split,split_separate
brnn,0.8496193067,6.346281163,7.939880967,166,1,full_before_split,split_separate
brnn,0.8496069824,6.636987131,8.346246372,2287,1,full_before_split,split_separate
brnn,0.8495698678,6.181647494,7.966618539,745,1,full_before_split,split_separate
brnn,0.8495682905,6.588192845,8.351928603,2795,1,full_before_split,split_separate
brnn,0.8495425816,6.367903405,8.037929822,1927,1,full_before_split,split_separate
brnn,0.8495373001,6.328166113,8.262098206,2669,1,full_before_split,split_separate
brnn,0.8494912346,6.399604835,7.955110207,113,1,full_before_split,split_separate
brnn,0.8494794747,6.479365925,8.255225062,1679,1,full_before_split,split_separate
brnn,0.8494534205,6.328035859,7.940685454,1236,1,full_before_split,split_separate
brnn,0.8494403778,6.336925455,8.488528575,3931,1,full_before_split,split_separate
brnn,0.8494372066,6.430301785,8.167858845,311,1,full_before_split,split_separate
brnn,0.8493629043,6.466176245,8.208740164,2401,1,full_before_split,split_separate
brnn,0.8492826554,6.380697468,8.247339471,1068,1,full_before_split,split_separate
brnn,0.8492441647,6.341809722,8.136336897,109,1,full_before_split,split_separate
brnn,0.849242356,6.706903363,8.318377403,3613,1,full_before_split,split_separate
brnn,0.8492265302,6.641983676,8.260834339,1995,1,full_before_split,split_separate
brnn,0.849172375,6.548339914,8.225264878,1169,1,full_before_split,split_separate
brnn,0.8491145334,6.276044648,8.124402009,3990,1,full_before_split,split_separate
brnn,0.849105298,6.592492236,8.618602219,3757,1,full_before_split,split_separate
brnn,0.8490295118,6.162806673,8.052231513,3141,1,full_before_split,split_separate
brnn,0.8490086878,6.291180058,8.050121131,3056,1,full_before_split,split_separate
brnn,0.8489069106,6.174339597,7.898078666,3670,1,full_before_split,split_separate
brnn,0.8488847856,6.093126752,8.256353357,2971,1,full_before_split,split_separate
brnn,0.8488488694,6.277872063,8.327472839,2212,1,full_before_split,split_separate
brnn,0.8488302341,6.906709022,8.659526577,3363,1,full_before_split,split_separate
brnn,0.8487495169,6.53788218,8.337565329,590,1,full_before_split,split_separate
brnn,0.8486721767,6.657246476,8.181904788,682,1,full_before_split,split_separate
brnn,0.8486040783,6.367666477,7.883128526,3454,1,full_before_split,split_separate
brnn,0.8485514321,6.701158844,8.169722564,1539,1,full_before_split,split_separate
brnn,0.8485457171,6.496757316,8.407383039,43,1,full_before_split,split_separate
brnn,0.8485000325,6.204835999,8.156705872,3323,1,full_before_split,split_separate
brnn,0.8484644441,6.799106199,8.432278407,3136,1,full_before_split,split_separate
brnn,0.8484294927,6.485833434,8.255283846,2710,1,full_before_split,split_separate
brnn,0.8483982788,6.545433115,8.207552763,2030,1,full_before_split,split_separate
brnn,0.8483435355,6.221347935,8.133563464,110,1,full_before_split,split_separate
brnn,0.848307786,6.462032644,8.349201941,1373,1,full_before_split,split_separate
brnn,0.8482854716,6.43893907,8.409212033,1663,1,full_before_split,split_separate
brnn,0.8482572439,6.185994075,8.14419625,3525,1,full_before_split,split_separate
brnn,0.8482372032,6.436350659,8.119549421,957,1,full_before_split,split_separate
brnn,0.8482332995,6.361780147,8.135583542,3023,1,full_before_split,split_separate
brnn,0.84812689,6.202433359,8.232020909,3083,1,full_before_split,split_separate
brnn,0.8480441328,6.554297816,8.500702248,3071,1,full_before_split,split_separate
brnn,0.8480351761,6.20068621,8.183964746,543,1,full_before_split,split_separate
brnn,0.8479981101,6.603476788,8.154081327,2335,1,full_before_split,split_separate
brnn,0.8479571154,6.269969605,8.285855037,1812,1,full_before_split,split_separate
brnn,0.8479289485,6.466289523,8.427531411,251,1,full_before_split,split_separate
brnn,0.8478243386,6.49779335,8.364981269,300,1,full_before_split,split_separate
brnn,0.8477057673,6.450448658,8.278004648,3866,1,full_before_split,split_separate
brnn,0.8476904478,6.348616985,8.186261063,3124,1,full_before_split,split_separate
brnn,0.8476787371,6.246389853,8.070019212,2701,1,full_before_split,split_separate
brnn,0.8476360146,6.478495098,8.389564656,607,1,full_before_split,split_separate
brnn,0.8476355789,6.417671249,8.509022176,322,1,full_before_split,split_separate
brnn,0.8475224257,6.381497037,8.194563061,3850,1,full_before_split,split_separate
brnn,0.8474948894,6.17181089,8.118578302,191,1,full_before_split,split_separate
brnn,0.8474073903,6.305736929,8.175854293,331,1,full_before_split,split_separate
brnn,0.8473585604,6.30347529,8.350167385,2513,1,full_before_split,split_separate
brnn,0.8473192184,6.251882643,8.222756747,154,1,full_before_split,split_separate
brnn,0.8472942461,6.183811765,8.095615357,3707,1,full_before_split,split_separate
brnn,0.8472851829,6.311346837,8.187000208,3088,1,full_before_split,split_separate
brnn,0.8472518313,6.503653561,8.23842892,3294,1,full_before_split,split_separate
brnn,0.8472287351,6.198051603,8.313660158,1686,1,full_before_split,split_separate
brnn,0.8471429214,6.614198763,8.149959685,732,1,full_before_split,split_separate
brnn,0.8471352086,6.063920271,8.178519203,339,1,full_before_split,split_separate
brnn,0.8470898997,6.363413014,7.966740891,885,1,full_before_split,split_separate
brnn,0.8470515476,6.428190375,8.333077674,3169,1,full_before_split,split_separate
brnn,0.8470403249,6.250597235,8.03733373,1275,1,full_before_split,split_separate
